fiscal_year,metric,value,unit,value_as_written,source_accession,section,quote,source_url,verified_in_filing
2021,operating_floor_space,118.9,million sq ft,118.9 million square feet,0000909832-21-000014,Item 2 - Properties,"At the end of 2021, our warehouses contained approximately 118.9 million square feet of operating floor space",https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/cost-20210829.htm,True
2022,operating_floor_space,122.5,million sq ft,122.5 million square feet,0000909832-22-000021,Item 2 - Properties,"At the end of 2022, our warehouses contained approximately 122.5 million square feet of operating floor space",https://www.sec.gov/Archives/edgar/data/909832/000090983222000021/cost-20220828.htm,True
2023,operating_floor_space,126.3,million sq ft,126.3 million square feet,0000909832-23-000042,Item 2 - Properties,"At the end of 2023, our warehouses contained approximately 126.3 million square feet of operating floor space",https://www.sec.gov/Archives/edgar/data/909832/000090983223000042/cost-20230903.htm,True
2024,operating_floor_space,130.9,million sq ft,130.9 million square feet,0000909832-24-000049,Item 2 - Properties,"At the end of 2024, our warehouses contained approximately 130.9 million square feet of operating floor space",https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,True
2020,gold_star_annual_fee_us,60.0,USD,$60,0000909832-20-000017,Item 1 - Membership,Our annual fee for these memberships is $60 in our U.S. and Canadian operations,https://www.sec.gov/Archives/edgar/data/909832/000090983220000017/cost-20200830.htm,True
2021,gold_star_annual_fee_us,60.0,USD,$60,0000909832-21-000014,Item 1 - Membership,Our annual fee for these memberships is $60 in our U.S. and Canadian operations,https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/cost-20210829.htm,True
2022,gold_star_annual_fee_us,60.0,USD,$60,0000909832-22-000021,Item 1 - Membership,Our annual fee for these memberships is $60 in the U.S.,https://www.sec.gov/Archives/edgar/data/909832/000090983222000021/cost-20220828.htm,True
2023,gold_star_annual_fee_us,60.0,USD,$60,0000909832-23-000042,Item 1 - Membership,Our annual fee for these memberships is $60 in the U.S.,https://www.sec.gov/Archives/edgar/data/909832/000090983223000042/cost-20230903.htm,True
2025,gold_star_annual_fee_us,65.0,USD,$65,0000909832-24-000049,Item 1 - Membership (fee increase disclosed in FY2024 10-K),"Effective September 1, 2024, we increased our membership fees in the U.S. and Canada for Gold Star, Business, and Business affiliates to $65 per year",https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,True
2025,executive_annual_fee_us,130.0,USD,$130,0000909832-24-000049,Item 1 - Membership (fee increase disclosed in FY2024 10-K),The Executive membership fee increased from $120 to $130,https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,True
2021,special_dividend_paid,4430.0,USD millions,"$4,430",0000909832-21-000014,Item 7 MD&A - Liquidity: Dividends,"Dividends in 2021 included a special dividend of $10.00 per share, resulting in an aggregate payment of approximately $4,430",https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/cost-20210829.htm,True
2024,special_dividend_paid,6655.0,USD millions,"$6,655",0000909832-24-000049,Item 7 MD&A - Liquidity: Dividends,"Dividends in 2024 included a special dividend of $15 per share, resulting in a payment of approximately $6,655",https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,True
2021,special_dividend_per_share,10.0,USD,$10.00,0000909832-21-000014,Item 7 MD&A - Liquidity: Dividends,Dividends in 2021 included a special dividend of $10.00 per share,https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/cost-20210829.htm,True
2024,special_dividend_per_share,15.0,USD,$15,0000909832-24-000049,Item 7 MD&A - Liquidity: Dividends,Dividends in 2024 included a special dividend of $15 per share,https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,True
2021,effective_tax_rate_ex_discrete,26.4,%,26.4%,0000909832-21-000014,Item 7 MD&A - Provision for Income Taxes,"Excluding these benefits, the tax rate was 26.4% for 2021",https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/cost-20210829.htm,True
2022,effective_tax_rate_ex_discrete,26.2,%,26.2%,0000909832-22-000021,Item 7 MD&A - Provision for Income Taxes,rate was 26.2% for 2022,https://www.sec.gov/Archives/edgar/data/909832/000090983222000021/cost-20220828.htm,True
2020,effective_tax_rate_ex_discrete,25.9,%,25.9%,0000909832-20-000017,Item 7 MD&A - Provision for Income Taxes,"Excluding these benefits, the tax rate was 25.9% for 2020",https://www.sec.gov/Archives/edgar/data/909832/000090983220000017/cost-20200830.htm,True
2023,effective_tax_rate_ex_discrete,26.6,%,26.6%,0000909832-23-000042,Item 7 MD&A - Provision for Income Taxes,"The effective tax rate for 2023 was impacted by net discrete tax benefits of $62, primarily due to excess tax benefits related to stock compensation. Excluding discrete net tax benefits, the tax rate was 26.6%",https://www.sec.gov/Archives/edgar/data/909832/000090983223000042/cost-20230903.htm,True
2024,discrete_tax_benefit_401k_special_dividend,94.0,USD millions,$94,0000909832-24-000049,Item 7 MD&A - Provision for Income Taxes,The effective tax rate for 2024 was favorably impacted by discrete tax benefits of $94 related to the portion of the special dividend payable through our 401(k) plan,https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,True
2024,discrete_tax_benefit_transfer_pricing,63.0,USD millions,$63,0000909832-24-000049,Item 7 MD&A - Provision for Income Taxes,a net non-recurring tax benefit of $63 related to a transfer pricing settlement and certain true-ups of tax reserves,https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,True
2024,discrete_tax_benefit_stock_comp,45.0,USD millions,$45,0000909832-24-000049,Item 7 MD&A - Provision for Income Taxes,and $45 of excess tax benefits related to stock compensation,https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,True
2020,dividends_declared_per_share,2.7,USD,$2.70,0000909832-21-000014,Item 7 MD&A - Liquidity: Dividends,"Cash dividends declared in 2021 totaled $12.98 per share, as compared to $2.70 per share in 2020",https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/cost-20210829.htm,True
2021,dividends_declared_per_share,12.98,USD,$12.98,0000909832-21-000014,Item 7 MD&A - Liquidity: Dividends,Cash dividends declared in 2021 totaled $12.98 per share,https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/cost-20210829.htm,True
2022,dividends_declared_per_share,3.38,USD,$3.38,0000909832-22-000021,Item 7 MD&A - Liquidity: Dividends,Cash dividends declared in 2022 totaled $3.38 per share,https://www.sec.gov/Archives/edgar/data/909832/000090983222000021/cost-20220828.htm,True
2023,dividends_declared_per_share,3.84,USD,$3.84,0000909832-24-000049,Item 7 MD&A - Liquidity: Dividends,"as compared to $1,703 or $3.84 per share in 2023",https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,True
2024,dividends_declared_per_share,19.36,USD,$19.36,0000909832-24-000049,Item 7 MD&A - Liquidity: Dividends,"Cash dividends declared in 2024 totaled $8,589 or $19.36 per share",https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,True
2025,q1_comparable_sales_growth,5.0,%,Total Company 5 %,0000909832-24-000079,10-Q Q1 FY2025 MD&A - Net sales,Increases in comparable sales (1) : U.S. 5 % 2 % Canada 6 % 6 % Other International 5 % 11 % Total Company 5 %,https://www.sec.gov/Archives/edgar/data/909832/000090983224000079/cost-20241124.htm,True
2025,q1_comparable_sales_growth_ex_gas_fx,7.0,%,Total Company 7 %,0000909832-24-000079,10-Q Q1 FY2025 MD&A - Net sales,Increases in comparable sales excluding the impact of changes in foreign-currency and gasoline prices (1) : U.S. 7 % 3 % Canada 7 % 8 % Other International 7 % 7 % Total Company 7 %,https://www.sec.gov/Archives/edgar/data/909832/000090983224000079/cost-20241124.htm,True
2025,planned_openings_incl_relocations,29.0,count,22 additional new warehouses,0000909832-24-000079,10-Q Q1 FY2025 MD&A - Capital expenditure plans,"We opened seven new warehouses, includ ing one relocation, in the first quarter of 2025 and plan to open 22 additional new warehouses, including two",https://www.sec.gov/Archives/edgar/data/909832/000090983224000079/cost-20241124.htm,True
2025,planned_relocations,3.0,count,including two,0000909832-24-000079,10-Q Q1 FY2025 MD&A - Capital expenditure plans (1 relocation in Q1 + 2 planned),"plan to open 22 additional new warehouses, including two",https://www.sec.gov/Archives/edgar/data/909832/000090983224000079/cost-20241124.htm,True
2025,capex_plan,5000.0,USD millions,"$5,000",0000909832-24-000079,10-Q Q1 FY2025 MD&A - Capital expenditure plans,"it is our current intention to spend a total of approximately $5,000 during fiscal 2025",https://www.sec.gov/Archives/edgar/data/909832/000090983224000079/cost-20241124.htm,True
2025,q1_paid_members,77.4,millions,"77,400",0000909832-24-000079,10-Q Q1 FY2025 MD&A - Membership fees,"Total paid members (000s) 77,400",https://www.sec.gov/Archives/edgar/data/909832/000090983224000079/cost-20241124.htm,True
2025,q1_renewal_rate_us_canada,92.8,%,92.8%,0000909832-24-000079,10-Q Q1 FY2025 MD&A - Membership fees,our renewal rates were 92.8% in the U.S. and Canada and 90.4% worldwide,https://www.sec.gov/Archives/edgar/data/909832/000090983224000079/cost-20241124.htm,True
2025,q1_gross_margin_ex_gas,11.11,% of net sales,11.11%,0000909832-24-000079,10-Q Q1 FY2025 MD&A - Gross margin,"Excluding the impact of gasoline price deflation on net sales, gross margin percentage was 11.11%",https://www.sec.gov/Archives/edgar/data/909832/000090983224000079/cost-20241124.htm,True
2025,q1_discrete_tax_benefit,100.0,USD millions,$100,0000909832-24-000079,10-Q Q1 FY2025 MD&A - Provision for income taxes,favorably impacted by discrete tax benefits of $100,https://www.sec.gov/Archives/edgar/data/909832/000090983224000079/cost-20241124.htm,True
2025,q1_debt_fair_value,5273.0,USD millions,"$ 5,273",0000909832-24-000079,10-Q Q1 FY2025 Note 3 - Fair value of long-term debt,"The fair value of the Company's long-term debt, including the current portion, was approximately $ 5,273",https://www.sec.gov/Archives/edgar/data/909832/000090983224000079/cost-20241124.htm,True
