fiscal_year,metric,value,unit,value_as_written,source_accession,section,quote
2024,operating_floor_space,130.9,million sq ft,130.9 million square feet,0000909832-24-000049,Item 2 - Properties,"At the end of 2024, our warehouses contained approximately 130.9 million square feet of operating floor space"
2020,gold_star_annual_fee_us,60,USD,$60,0000909832-20-000017,Item 1 - Membership,Our annual fee for these memberships is $60 in our U.S. and Canadian operations
2021,gold_star_annual_fee_us,60,USD,$60,0000909832-21-000014,Item 1 - Membership,Our annual fee for these memberships is $60 in our U.S. and Canadian operations
2022,gold_star_annual_fee_us,60,USD,$60,0000909832-22-000021,Item 1 - Membership,Our annual fee for these memberships is $60 in the U.S.
2023,gold_star_annual_fee_us,60,USD,$60,0000909832-23-000042,Item 1 - Membership,Our annual fee for these memberships is $60 in the U.S.
2025,gold_star_annual_fee_us,65,USD,$65,0000909832-24-000049,Item 1 - Membership (fee increase disclosed in FY2024 10-K),"Effective September 1, 2024, we increased our membership fees in the U.S. and Canada for Gold Star, Business, and Business affiliates to $65 per year"
2025,executive_annual_fee_us,130,USD,$130,0000909832-24-000049,Item 1 - Membership (fee increase disclosed in FY2024 10-K),The Executive membership fee increased from $120 to $130
2021,special_dividend_paid,4430,USD millions,"$4,430",0000909832-21-000014,Item 7 MD&A - Liquidity: Dividends,"Dividends in 2021 included a special dividend of $10.00 per share, resulting in an aggregate payment of approximately $4,430"
2024,special_dividend_paid,6655,USD millions,"$6,655",0000909832-24-000049,Item 7 MD&A - Liquidity: Dividends,"Dividends in 2024 included a special dividend of $15 per share, resulting in a payment of approximately $6,655"
2021,special_dividend_per_share,10.0,USD,$10.00,0000909832-21-000014,Item 7 MD&A - Liquidity: Dividends,Dividends in 2021 included a special dividend of $10.00 per share
2024,special_dividend_per_share,15.0,USD,$15,0000909832-24-000049,Item 7 MD&A - Liquidity: Dividends,Dividends in 2024 included a special dividend of $15 per share
2021,effective_tax_rate_ex_discrete,26.4,%,26.4%,0000909832-21-000014,Item 7 MD&A - Provision for Income Taxes,"Excluding these benefits, the tax rate was 26.4% for 2021"
2022,effective_tax_rate_ex_discrete,26.2,%,26.2%,0000909832-22-000021,Item 7 MD&A - Provision for Income Taxes,rate was 26.2% for 2022
2020,effective_tax_rate_ex_discrete,25.9,%,25.9%,0000909832-20-000017,Item 7 MD&A - Provision for Income Taxes,"Excluding these benefits, the tax rate was 25.9% for 2020"
2023,effective_tax_rate_ex_discrete,26.6,%,26.6%,0000909832-23-000042,Item 7 MD&A - Provision for Income Taxes,"The effective tax rate for 2023 was impacted by net discrete tax benefits of $62, primarily due to excess tax benefits related to stock compensation. Excluding discrete net tax benefits, the tax rate was 26.6%"
2024,discrete_tax_benefit_401k_special_dividend,94,USD millions,$94,0000909832-24-000049,Item 7 MD&A - Provision for Income Taxes,The effective tax rate for 2024 was favorably impacted by discrete tax benefits of $94 related to the portion of the special dividend payable through our 401(k) plan
2024,discrete_tax_benefit_transfer_pricing,63,USD millions,$63,0000909832-24-000049,Item 7 MD&A - Provision for Income Taxes,a net non-recurring tax benefit of $63 related to a transfer pricing settlement and certain true-ups of tax reserves
2024,discrete_tax_benefit_stock_comp,45,USD millions,$45,0000909832-24-000049,Item 7 MD&A - Provision for Income Taxes,and $45 of excess tax benefits related to stock compensation
2020,dividends_declared_per_share,2.7,USD,$2.70,0000909832-21-000014,Item 7 MD&A - Liquidity: Dividends,"Cash dividends declared in 2021 totaled $12.98 per share, as compared to $2.70 per share in 2020"
2021,dividends_declared_per_share,12.98,USD,$12.98,0000909832-21-000014,Item 7 MD&A - Liquidity: Dividends,Cash dividends declared in 2021 totaled $12.98 per share
2022,dividends_declared_per_share,3.38,USD,$3.38,0000909832-22-000021,Item 7 MD&A - Liquidity: Dividends,Cash dividends declared in 2022 totaled $3.38 per share
2023,dividends_declared_per_share,3.84,USD,$3.84,0000909832-24-000049,Item 7 MD&A - Liquidity: Dividends,"as compared to $1,703 or $3.84 per share in 2023"
2024,dividends_declared_per_share,19.36,USD,$19.36,0000909832-24-000049,Item 7 MD&A - Liquidity: Dividends,"Cash dividends declared in 2024 totaled $8,589 or $19.36 per share"
